Timestamp [HH;MM;SS], X acc [m/s^2], Y acc [m/s^2], Z acc [m/s^2], T [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;35;41, -0.235, 2.001, 9.888, 12.000, 0.42, 18, 250, 1380, NA, 20, 0, 18, 322
06;35;43, -0.471, 0.314, 9.221, 12.000, 0.07, 18, 250, 1559, 14, 19, 0, 16, 235
06;35;45, -1.020, 0.981, 8.672, 12.000, 0.42, 18, 250, 1197, 10, 19, 0, 15, 282
06;35;47, -0.903, 1.020, 9.575, 11.000, 0.38, 19, 250, 1434, 12, 19, 0, 18, 303
06;35;50, -0.432, 1.766, 10.006, 12.000, 0.35, 19, 250, 1710, 14, 19, 0, 21, 290
06;35;52, 1.648, 1.962, 9.064, 11.000, 0.36, 19, 250, 1519, 13, 19, 0, 18, 306
06;35;54, 0.903, 1.570, 11.105, 12.000, 0.36, 19, 250, 1593, 14, 19, 0, 20, 313
06;35;57, -0.667, 1.884, 9.614, 11.000, 0.40, 20, 250, 1686, 14, 19, 0, 22, 350
06;35;59, -0.785, 1.530, 10.438, 11.000, 0.20, 20, 250, 1070, 16, 19, 0, 10, 246
06;36;01, -1.727, 2.551, 9.025, 11.000, 0.82, 20, 250, 1081, 17, 19, 0, 14, 278
06;36;03, -1.491, 0.785, 7.142, 11.000, 0.51, 21, 250, 1158, 18, 19, 0, 13, 429
06;36;06, -0.942, 2.197, 6.945, 11.000, 0.71, 21, 250, 1244, 21, 19, 0, 16, 294
06;36;08, -1.373, 0.549, 9.025, 11.000, 0.42, 21, 250, 1085, 18, 19, 0, 12, 468
06;36;10, -0.667, 1.334, 9.221, 12.000, 0.87, 22, 250, 1235, 20, 19, 0, 17, 651
06;36;13, -1.452, 2.472, 12.361, 11.000, 0.65, 22, 250, 1615, 26, 19, 0, 23, 364
06;36;15, -0.471, 0.863, 10.556, 10.000, 0.30, 22, 250, 1619, 27, 19, 0, 19, 299
06;36;17, 1.805, 1.530, 9.732, 10.000, 0.42, 23, 250, 1628, 26, 18, 0, 21, 335
06;36;20, -1.884, 1.059, 8.829, 10.000, 0.63, 23, 250, 1805, 29, 19, 0, 27, 566
06;36;22, -1.884, 0.549, 9.104, 9.000, 0.86, 24, 250, 2316, 37, 18, 0, 43, 332
06;36;24, -1.059, -0.549, 11.340, 10.000, 0.31, 24, 250, 1475, 39, 18, 0, 19, 440
06;36;27, -1.059, 0.471, 8.005, 9.000, 0.76, 24, 250, 1713, 43, 18, 0, 26, 748
06;36;29, -1.020, -0.314, 9.535, 10.000, 0.20, 25, 250, 903, 47, 18, 0, 16, 271
06;36;31, -0.903, 0.275, 10.399, 10.000, 0.66, 26, 250, 1340, 46, 18, 0, 17, 463
06;36;33, -0.746, 0.235, 10.869, 9.000, 0.01, 26, 250, 1364, 48, 18, 0, 14, 218
06;36;36, -2.001, -1.295, 9.300, 9.000, 0.00, 27, 250, 1264, 44, 18, 0, 13, 221
06;36;38, -1.452, -0.549, 9.732, 9.000, 0.00, 28, 250, 1162, 41, 18, 0, 12, 219
06;36;40, -1.295, -1.177, 9.653, 8.000, 0.05, 28, 250, 1044, 37, 18, 0, 8, 223
06;36;43, -0.235, -0.824, 10.595, 9.000, 0.27, 29, 250, 854, 28, 18, 0, 8, 224
06;36;45, -0.471, 0.039, 10.124, 8.000, 0.27, 29, 250, 849, 17, 19, 0, 8, 226
06;36;47, -1.570, -0.471, 10.320, 9.000, 0.26, 29, 250, 853, 16, 19, 0, 8, 226
06;36;50, -0.785, 0.039, 9.575, 8.000, 0.25, 30, 250, 853, 15, 19, 0, 8, 227
06;36;52, -1.138, -0.314, 9.888, 8.000, 0.25, 30, 250, 866, 11, 19, 0, 8, 221
06;36;54, -0.942, 0.039, 9.888, 8.000, 0.26, 30, 250, 850, 4, 19, 0, 8, 223
06;36;57, -0.942, -0.196, 9.300, 8.000, 0.26, 31, 250, 846, 1, 19, 0, 9, 225
06;36;59, -0.942, 0.078, 9.849, 8.000, 0.26, 31, 250, 763, 0, 19, 0, 7, 216
06;37;01, -1.216, -0.039, 9.849, 8.000, 0.27, 31, 250, 763, 0, 19, 0, 7, 217
06;37;04, -1.295, -0.039, 10.595, 8.000, 0.27, 31, 250, 764, 0, 19, 0, 7, 217
06;37;06, -1.099, 0.275, 9.849, 9.000, 0.27, 31, 250, 761, 0, 19, 0, 8, 219
06;37;08, -1.138, -0.039, 9.221, 9.000, 0.25, 32, 250, 765, 0, 19, 0, 7, 220
