Timestamp [HH;MM;SS], Xacc [m/s^2], Yacc [m/s^2], Zacc [m/s^2], Tvar [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
12;39;36, 1.059, 0.157, 10.202, 13.000, 47.0, 25, 250, 1005, NA, 24, 70, 13, 259
12;39;38, -0.118, 1.413, 9.300, 12.000, 38.0, 25, 250, 1204, 10, 24, 70, 14, 284
12;39;40, -1.805, 0.314, 8.947, 13.000, 16.0, 25, 250, 1608, 13, 23, 70, 10, 230
12;39;42, 0.903, 0.432, 8.515, 13.000, 26.0, 25, 250, 848, 12, 23, 70, 8, 224
12;39;45, 0.667, -0.628, 10.477, 12.000, 26.0, 25, 250, 851, 9, 23, 70, 8, 223
12;39;47, 0.235, 0.589, 9.653, 12.000, 26.0, 26, 250, 847, 1, 23, 70, 9, 222
12;39;50, 0.118, 1.530, 11.301, 12.000, 61.0, 26, 250, 816, 4, 23, 70, 9, 251
12;39;52, 0.903, 0.628, 10.595, 13.000, 34.0, 26, 250, 951, 8, 23, 70, 11, 250
12;39;54, 2.433, 0.628, 9.025, 13.000, 38.0, 26, 250, 1253, 10, 23, 70, 14, 285
12;39;57, 0.432, 0.824, 9.418, 12.000, 32.0, 26, 250, 1514, 12, 23, 70, 17, 260
12;39;59, 0.353, -0.118, 9.732, 12.000, 21.0, 27, 250, 1047, 9, 23, 70, 10, 237
12;40;02, -0.392, 0.903, 8.947, 13.000, 34.0, 27, 250, 952, 8, 23, 70, 11, 240
12;40;04, -2.001, 0.235, 10.281, 12.000, 36.0, 27, 250, 1050, 8, 23, 70, 12, 264
12;40;06, -0.275, 0.432, 8.790, 12.000, 38.0, 27, 250, 1357, 11, 23, 70, 17, 297
12;40;09, -0.824, 1.138, 10.242, 12.000, 25.0, 28, 250, 1665, 14, 22, 70, 18, 227
12;40;11, 1.256, 0.628, 10.948, 12.000, 35.0, 28, 250, 1148, 9, 22, 70, 13, 262
12;40;14, 0.589, 0.824, 10.242, 11.000, 40.0, 28, 250, 1508, 12, 22, 70, 21, 368
12;40;16, 1.530, -1.334, 10.516, 12.000, 2.0, 29, 250, 1874, 17, 22, 70, 18, 222
12;40;19, 0.471, -0.510, 9.378, 12.000, 20.0, 29, 250, 870, 7, 22, 70, 9, 220
12;40;21, 0.078, 0.667, 9.888, 13.000, 40.0, 29, 250, 899, 7, 22, 70, 11, 259
12;40;23, -1.609, 0.275, 10.634, 12.000, 55.0, 30, 250, 1425, 11, 22, 70, 20, 360
12;40;26, 0.471, -0.510, 10.399, 12.000, 0.0, 30, 250, 1334, 13, 22, 70, 12, 238
12;40;28, -0.157, 0.863, 10.085, 12.000, 39.0, 30, 250, 1380, 11, 22, 70, 17, 300
12;40;30, 2.197, 0.942, 9.967, 12.000, 39.0, 31, 250, 1875, 15, 21, 70, 26, 333
12;40;33, 1.805, -0.235, 10.124, 12.000, 16.0, 31, 250, 1822, 16, 21, 70, 22, 300
12;40;35, 1.177, -0.275, 10.830, 12.000, 23.0, 31, 250, 855, 14, 21, 70, 9, 222
12;40;38, 0.510, -0.039, 10.516, 12.000, 23.0, 31, 250, 850, 11, 21, 70, 9, 229
12;40;40, 1.491, -1.177, 10.399, 12.000, 24.0, 32, 250, 851, 6, 21, 70, 9, 227
12;40;42, 0.549, 1.884, 10.399, 12.000, 54.0, 32, 250, 841, 1, 21, 70, 7, 267
12;40;45, 0.275, 1.727, 8.711, 12.000, 13.0, 32, 250, 1360, 12, 21, 70, 8, 224
12;40;47, 1.413, 0.392, 9.457, 13.000, 25.0, 33, 250, 867, 9, 21, 70, 9, 230
12;40;49, 2.747, 1.570, 11.811, 12.000, 45.0, 33, 250, 1358, 11, 22, 70, 18, 386
12;40;52, -0.157, 0.432, 9.614, 11.000, 0.0, 33, 250, 1710, 19, 21, 70, 9, 224
12;40;54, 0.353, 0.157, 9.732, 12.000, 23.0, 34, 250, 850, 16, 21, 70, 8, 222
12;40;56, 1.962, 1.334, 9.849, 12.000, 49.0, 34, 250, 859, 14, 21, 70, 9, 242
12;40;59, 1.805, 1.256, 9.692, 11.000, 22.0, 34, 250, 993, 16, 22, 70, 9, 223
12;41;01, 1.138, -0.392, 10.673, 12.000, 23.0, 34, 250, 850, 10, 21, 70, 8, 221
12;41;03, 0.275, 0.432, 9.928, 12.000, 23.0, 35, 250, 803, 0, 21, 70, 7, 218
12;41;05, 0.471, 0.589, 9.928, 11.000, 23.0, 35, 250, 759, 0, 21, 70, 7, 219
12;41;08, 0.196, 0.471, 10.320, 12.000, 23.0, 35, 250, 747, 0, 22, 70, 6, 221
12;41;10, 0.275, 0.903, 9.692, 12.000, 29.0, 35, 250, 973, 0, 22, 70, 11, 247
12;41;13, 0.392, 1.334, 9.418, 12.000, 35.0, 36, 250, 881, 2, 21, 70, 9, 231
12;41;15, 0.667, 0.903, 10.202, 11.000, 30.0, 36, 250, 837, 3, 22, 70, 8, 226
12;41;17, 0.432, 0.275, 10.202, 11.000, 23.0, 36, 250, 849, 4, 22, 70, 9, 222
12;41;20, 0.706, 0.432, 10.399, 11.000, 24.0, 36, 250, 854, 2, 22, 70, 8, 223
12;41;22, 0.235, 0.353, 9.771, 11.000, 27.0, 37, 250, 846, 1, 22, 70, 10, 264
12;41;24, -0.471, 0.903, 9.771, 12.000, 11.0, 37, 250, 862, 5, 22, 70, 9, 225
12;41;27, 0.549, 0.589, 9.535, 11.000, 23.0, 37, 250, 863, 5, 22, 70, 8, 227
12;41;29, 0.706, 0.628, 9.575, 12.000, 24.0, 37, 250, 848, 2, 22, 70, 8, 226
12;41;31, 0.235, 1.648, 9.732, 12.000, 69.0, 37, 250, 818, 3, 22, 70, 9, 340
12;41;34, -0.275, 1.844, 10.006, 12.000, 9.0, 37, 250, 1700, 15, 21, 70, 10, 227
12;41;36, 0.432, 0.549, 9.104, 12.000, 23.0, 38, 250, 927, 15, 21, 70, 9, 221
12;41;38, 0.785, -0.667, 10.634, 11.000, 23.0, 38, 250, 853, 14, 21, 70, 9, 224
12;41;41, -0.157, -0.314, 10.713, 11.000, 23.0, 38, 250, 848, 11, 21, 70, 8, 226
12;41;43, 0.432, 0.471, 9.614, 11.000, 24.0, 38, 250, 842, 10, 22, 70, 8, 222
